Molecule,SMILES,Force,Predicted Type 0,Predicted Type,Result,BeginAtom,EndAtom
4001,O=C1[C@@H]2[C@@H](C(OC)=O)[C@@H](C=O)[C@@H](O2)C=C1C(OC)=O,6,8,8,0,9,19
4003,O=C1[C@](O2)(C)[C@H](CC(C)=O)[C@H](CCC)[C@@H]2C3=CC(C(C)=O)=CC=C31,5.5,8,8,0,9,14
4005,O=C1[C@](O2)(C)[C@H](CC(C)=O)[C@@H](CCC)[C@]2(C(C)=O)C3=CC=CC=C31,3.6,8,8,1,27,41
4006,[H][C@@]12C(COC2)=C(C3=CC=C(OC(C)=O)C=C3)N[C@](CC)(C)C=C1,5.7,8,8,0,17,40
4007,O=C1C(OC)=C[C@H]2[C@]3([H])[C@@]4(C(C=C(F)C=C5)=C5N3CC)[C@]1(CC(C(OCC)=O)(C(OCC)=O)C4)O2,4.8,8,8,0,12,25
4008,O=C(OCCC1)[C@@]2([H])[C@H](O3)C1=CC([C@@]3(C(C)=O)/C2=C\\CC)=O,4.3,8,8,1,14,20
4009,O=C1[C@@]2(C(C)=O)[C@@](C2)(C(C)=O)C(C)=C1C,4,9,4,1,20,24
4009-2,O=C1[C@]2(C(C)=O)[C@](C2)(C(C)=O)C(C)=C1C,4,9,4,1,20,24
4010,O=C1[C@@]2(C(OC)=O)[C@@](C2(Br)Br)(C(OC)=O)CC1(C)C,3.4,4,4,1,25,29
4010-2,O=C1[C@]2(C(OC)=O)[C@](C2(Cl)Cl)(C(OC)=O)CC1(C)C,3.5,4,4,1,25,29
4011,O=C1[C@@]2(CC)[C@@](C2(F)F)(CC)C(C)=C1C,3.3,4,4,1,19,23
4012,O=C1[C@@]2(C(C)=O)[C@@]([C@]2(Cl)C(OC)=O)(C(C)=O)[C@@H](C)[C@H]1C,3.2,4,4,1,20,24
4012-2,O=C1[C@]2(C(C)=O)[C@]([C@]2(Br)C(OC)=O)(C(C)=O)[C@@H](C)[C@H]1C,3.9,4,4,1,20,24
4013,O=C(OC)[C@H]1C(C2=CC=C(C(F)(F)F)C=C2)=NO[C@@H]1/C=C/C3=CC=CC=C3,5.2,2-,2,1,18,22
4014,O[C@@H]1C=C(OC(C)=O)[C@H](O)[C@]2([H])[C@@H](C3)[C@]4([H])[C@@]([C@@H]3[C@@]21[H])(ON=C4OC(C)=O)[H],5.3,2-,2,1,6,36
4015,O[C@@H]1C=C(OC(C)=O)[C@H](O)[C@]2([H])[C@@H](C3)[C@]4([H])[C@@]([C@@H]3[C@@]21[H])(ON=C4C5=CC=C(OC(C)=O)C=C5)[H],4.8,2-,2,1,28,48
4016,CC1(C)C2(OC(C(OC)=CC=C3)=C3C=C2)N(CCCC)C4=CC=C(C(F)(F)F)C=C41,3.2,6,6,1,34,46
4017,CC1(C)C2(OC(C(OC)=CC=C3C(F)(F)F)=C3C=C2)N(CCCC)C4=CC=CC=C41,3.5,6,6,1,34,41
4018,CN1C2=CC=C(CC)C=C2[C@](C)(CC)C13OC(C(OC)=CC=C4)=C4C=C3,5.7,6,6,1,33,35
4019,CC1(C)C2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(C4=CC=C(C)C=C4)C5=CC=CC=C51,3.9,6,6,1,48,52
4020,CC1(C)C2(OC(C(OC(OC(C)(C)C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC)C4=CC=CC=C41,2.7,6,6,1,45,52
4021,CCC1=CC=CC2=C1OC34N(CCCC)C5=CC=CC=C5[C@]3(C)CCCC4=C2,2.9,6,6,1,29,36
4022,CC(OC(C=C1)=CC=C1C2(C3=CC=CC=C3)C=CC4=C5C(N=C(C)S5)=CC=C4O2)=O,6.2,6,6,0,35,39
4023,FC(C=C1)=CC=C1C2(C3=CC=C(F)C=C3)C=CC4=C5C(C=CC=C5)=CC(/C=C/C6=C(OC)C=C(C=CC=C7)C7=C6)=C4O2,4.4,6,6,1,34,64
4024-,CN1C2=CC=C(C(F)(F)F)C=C2C(C)(C)C13OC(C(OC)=CC=C4)=C4C(/C=C5N(C)C(C=CC=C6)=C6C\\5(C)C)C3,5.5,6,6,1,32,34
4025,CN1C2=CC=CC=C2C(C)(C)C13OC(C=CC(OC)=C4)=C4CCCC3,5.3,6,6,1,29,47
4026,COC1=C(OC)C=C2C(C[C@@H]2CN(C)CCCN3CCC(C=C(OC)C(OC)=C4)=C4CC3=O)=C1,5.4,1,1,1,31,65
4027,CC1(C)[C@]([C@@]2([H])C1)([H])CC[C@@]3(C)C(O3)CC2=C,4,1,1,1,24,33
