Molecule,SMILES,Force,Predicted Type,Result,BeginAtom,EndAtom
1,O=C(OCCC(OC)=O)[C@@]1([H])CC[C@@]1([H])C(OCCC(OC)=O)=O,4.6,1,1,31,36
2,O=C(OCCC(OC)=O)[C@]1([H])CC[C@@]1([H])C(OCCC(OC)=O)=O,5.6,1,1,31,36
3,O=C(OCCC(OC)=O)[C@@]1([H])CC[C@@]1(C#N)C(OCCC(OC)=O)=O,4.2,1,1,31,36
4,O=C(OCCC(OC)=O)[C@]1([H])CC[C@@]1(C#N)C(OCCC(OC)=O)=O,5.3,1,1,30,35
5,O=C(OCCC(OC)=O)[C@@]1(C#N)CC[C@@]1(C#N)C(OCCC(OC)=O)=O,3.5,1,1,29,34
6,O=C(OCCC(OC)=O)[C@]1(C#N)CC[C@@]1(C#N)C(OCCC(OC)=O)=O,4.4,1,1,29,34
7,O=C1C2=CC=CC=C2[C@](C(C(OC)=O)C3C(OC)=O)([H])[C@]3([H])C4=CC=CC=C41,4.8,1,1,36,40
8,O=C(OC)[C@]1([H])[C@@]([C@]([C@@]1([H])C(OC)=O)([H])C2=CC=C(OC(C)=O)C=C2)([H])C3=CC=C(OC(C)=O)C=C3,5.2,1,1,23,28
9,O=C(OC)[C@@]1([H])[C@]([C@]([C@@]1([H])C(OC)=O)([H])C2=CC=C(OC(C)=O)C=C2)([H])C3=CC=C(OC(C)=O)C=C3,2.5,1,1,23,28
10,O=C(NC)[C@]1([H])[C@@]([C@@]([C@]1([H])C(NC)=O)([H])C2=CC=C(OC)C=C2)([H])C3=CC=C(OC)C=C3,4.7,1,1,44,49
11,CCOC([C@H]1[C@@H]2[C@@H](CC[C@](C3(Cl)Cl)([H])[C@]3([H])CC2)[C@H]1C(OCC)=O)=O,5,1,1,17,24
12,[H][C@]1(C(NC)=O)[C@]([H])(C2=CC=CC=C2)[C@@](C(NC)=O)([H])[C@@]1([H])C3=CC=CC=C3,6.5,1,0,8,17
13,O=C(O1)[C@]([C@@]([C@@]2([H])C(O3)=O)([H])C4=C3C=C(OC)C=C4)([H])[C@]2([H])C5=C1C=C(OC)C=C5,6.5,1,0,34,38
14,O=C(O1)[C@]2([H])[C@]([C@@]([C@]([H])2C(O3)=O)([H])C4=C3C=C(OC)C=C4)([H])C5=C1C=C(OC)C=C5,3.8,1,1,30,34
15,O=C(O1)[C@]2(C)[C@]([C@@]([C@](C)2C(O3)=O)([H])C4=C3C=C(OCCOC(C)=O)C=C4)([H])C5=C1C=C(OCCOC(C)=O)C=C5,5.5,1,1,48,61
16,[H][C@]12[C@]([H])(/C=C/C)[C@]([H])(/C=C/C)[C@@]1([H])C3=CC=CC4=CC=CC2=C43,3.5,1,1,28,32
17,[H][C@]12[C@]([H])(/C=C/C)[C@]([H])(/C=C/C)[C@@]1([H])C3=CC=C(N(C)C)C4=CC=CC2=C43,3.4,1,1,27,31
18,[H][C@]12[C@]([H])(/C=C/C)[C@]([H])(/C=C/C)[C@@]1([H])C3=CC=C(C(N(C)C4=O)=O)C5=C4C=CC2=C53,3.4,1,1,32,41
19,[H][C@]12[C@]([H])(/C=C/C)[C@]([H])(/C=C/C)[C@@]1([H])C3=CC=C(OC)C4=C(OC)C=CC2=C43,4,1,1,33,42
20,[H][C@]12[C@]([H])(C(C3=CC=C(OC(C)=O)C=C3)=O)C([H])(C(C4=CC=C(OC(C)=O)C=C4)=O)[C@]1(CCC2)[H],5.8,1,1,12,25
21,CC(OCCCOC([C@]1([H])[C@@]([H])(C(OCCCOC(C)=O)=O)[C@@]2([H])[C@@]1(CCCC2)[H])=O)=O,5.5,1,1,44,48
22,[H][C@@]12[C@@]([H])(C(OCCCOC(C)=O)=O)[C@@]([H])(C(OCCCOC(C)=O)=O)[C@@]1(CCCC2)[H],5,1,1,44,48
23,[H][C@@]12[C@@](Br)(C(OCCCOC(C)=O)=O)[C@@](Br)(C(OCCCOC(C)=O)=O)[C@@]1(CCCC2)[H],4,1,1,42,46
24,[H][C@@]12[C@@]([H])(C(OCCCOC(C)=O)=O)[C@@](C#N)(C(OCCCOC(C)=O)=O)[C@@]1(CCCC2)[H],4.1,1,1,42,46
25,O=C(OC)[C@]1(C)[C@]2([H])CCCCCC[C@]2([H])[C@H]1C,4.5,1,1,24,35
26,O=C(OC)[C@]1(C)[C@@]2([H])[C@]([H])(CCC2)[C@H]1C,4,1,1,11,22
27,O=C(OC)[C@@]1(C)[C@@]([H])(CCCCCCCCCC2)[C@]2([H])[C@@H]1C,3.4,1,1,4,12
28,CC1(C)OC[C@]2([H])[C@]([H])(C(OC)=O)[C@]([H])(C(OC)=O)[C@]2([H])CO1,4.5,1,1,12,16
29,O=C1OC[C@H]2C(C)[C@@H](C)[C@H]21,4.7,1,1,4,9
30,CC(OC(C=C1)=CC=C1[C@H]2N(C3=CC=CC=C3)C([C@H]2COC(C)=O)=O)=O,3.7,1,1,32,42
31,O=C1C(C2=CC=CC=C2)(C3=CC=CC=C3)N(C4=CC=C(OCCOC(C)=O)C=C4)N1C5=CC=C(OCCOC(C)=O)C=C5,3.8,1,1,19,33
32,CC(OCCO[C@@]1(C2)C[C@H]3C[C@@H](C1)[C@@]4([C@@]5(OO4)[C@@H](C6)C[C@]7(OCCOC(C)=O)C[C@H]5C[C@H]6C7)[C@@H]2C3)=O,5.9,1,1,31,56
33,O=C(OCCC)C1=C(C(OCCC)=O)C2C=C(COCC3=CC=CC=C3)C1O2,6.2,2,0,38,48
34,O=C(N1C2=CC=CC=C2)N3[C@@H]4C5=CC(COC(C)=O)=CC=C5[C@H](N3C1=O)C6=C4C=CC(COC(C)=O)=C6,6.1,2,0,45,55
35,CC(OCC(C=C1)=CC=C1[C@]23C4=CC=CC=C4[C@](OO3)(C5=CC=C(COC(C)=O)C=C5)C6=C2C=CC=C6)=O,6,2,0,27,56
36,CC(OCC1S[C@](C2=CC=CC=N2)(SCC3=CC=C(CSC4(C5=CC=CC=N5)C(COC(C)=O)C=CC(C)S4)C=C3)C(C)C=C1)=O,3.8,2,0,49,73
37,COCCN1N=NC2=C1CCC(C3COC(NC)=O)C3CC2,6.9,2,0,26,42
38,O=C(N1CCOC(C)=O)[C@H]2[C@@]3(COC(C)=O)C4=CC=CC=C4[C@@H]([C@H]2C1=O)C5=C3C=CC=C5,4.6,2,1,36,49
39,O=C(N1CCOC(C)=O)[C@H]2[C@@]3(C#CC4=CC=C(OC(C)=O)C=C4)C5=CC=CC=C5[C@@H]([C@H]2C1=O)C6=C3C=CC=C6,4.1,2,1,40,59
40,O=C1N(CCOC(C)=O)C(C2([H])[C@@H]3C=CC(O3)(COC(C)=O)C21[H])=O,4.2,2,1,22,29
41,O=C1N(CCOC(C)=O)C(C2([H])[C@@H]3C=C(COC(C)=O)[C@@H](O3)C21[H])=O,4.7,2,1,17,30
42,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C=C[C@](O3)(COC(C)=O)[C@]21[H])=O,4.2,2,1,22,29
43,O=C1N(COC(C)=O)C([C@@]2([H])[C@@H]3C=C[C@](O3)(COC(C)=O)[C@]21[H])=O,4.1,2,1,22,29
44,O=C1N(CCOC(C)=O)C([C@]2([H])[C@]3(C(OC(OC)=O)C)C=C[C@](O3)(COC(C)=O)[C@@]21[H])=O,4.2,2,1,21,28
45,O=C1N(C2=C(F)C=C(OC(C)=O)C=C2)C([C@@]3([H])C4(COC)C=C[C@@H](O4)[C@]31[H])=O,4,2,1,21,37
46,O=C1N(CCOC(C)=O)C([C@@]2([H])C3(C4=C(C)SC(COC(C)=O)=C4)C(C5=C(C)SC(C6=CC=CC=C6)=C5)=C[C@@H](C3)[C@]21[H])=O,4.6,2,1,17,67
47,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C(C4=C(C5=C(C)SC(C6=CC=CC=C6)=C5C)C(F)(F)C(F)(F)C4(F)F)=C[C@](O3)(COC(C)=O)[C@]21[H])=O,4.3,2,1,21,28
48,O=C(NC)OCC(C1=C2C=CC=C1)(C3=C(C=CC=C3)C2C4(COC(NC)=O)C5=C6C=CC=C5)C6C7=C4C=CC=C7,7,3,0,52,63
49,O=C(OC)C(C1=C2C=CC=C1)(C3=C(C=CC=C3)C2C4(C(OC)=O)C5=C6C=CC=C5)C6C7=C4C=CC=C7,6,3,0,48,56
50,CCC[C@@H]1[C@H](CCC)[C@]1(Cl)Br,3.9,4,1,0,19
51,CCC[C@@H]1[C@H](CCC)[C@]1(Br)Cl,3.7,4,1,0,19
52,CCC[C@@H]1[C@H](CCC)[C@]1(F)Cl,3.7,4,1,0,19
53,CCC[C@@H]1[C@H](CCC)[C@]1(Cl)F,3.5,4,1,0,19
54,BrC1(Br)[C@@H]([C@H]2CC[C@@H](C)C2)[C@H]1[C@H]3C[C@H](C)CC3,3.5,4,1,31,36
55,BrC1(Br)[C@@H](CC)[C@H]1CC,4,4,1,9,15
56,ClC1(Cl)C(CC)(OC)[C@H]1CC,3.6,4,1,0,11
57,CCC[C@H]1C2[C@@](C2(Cl)Cl)(CCC)C3=C1C=CC=C3,6.1,4,0,19,32
58,ClC1(Cl)[C@@H](CC)[C@H]1CC,4.1,4,1,9,15
59,ClC1(Cl)[C@@H]([C@H]2CC[C@@H](C)C2)[C@H]1[C@H]3C[C@H](C)CC3,3.8,4,1,29,36
60,ClC1(Cl)[C@@H](CC)[C@H]1/C=C/C,3.4,4,1,0,12
61,ClC1(Cl)[C@@H](CC)[C@H]1/C=C\\C,3.9,4,1,0,12
62,ClC1(Cl)[C@H](CC/C=C\CC)[C@H]1CC/C=C\\CC,5.4,4,0,28,32
63,ClC1(Cl)[C@@H](CC/C=C\\CC)[C@H]1CC/C=C\\CC,4,4,1,20,33
64,COC([C@]([C@]1([H])C(OC)=O)([H])N1C2=CC=C(OC)C=C2)=O,5.3,5,0,26,30
65,COC([C@@]([C@]1([H])C(OC)=O)([H])N1C2=CC=C(OC)C=C2)=O,5.8,5,0,26,30
66,C[C@@H](CC1)C[C@@H]1[C@@H]2[C@H]([C@H]3CC[C@H](C)C3)O2,6.4,5,0,29,34
67,C/C=C/[C@@H]1[C@H](CCC)O1,6.2,5,0,10,17
68,C/C=C\\[C@H]1[C@@H](CCC)C2=CC=CC=C21,4,5,1,17,26
69,CC[C@H]1[C@H](CC)C2=CC=CC=C21,4.3,5,1,14,17
70,[H][C@@]1(OC(C)=O)[C@](OC(C)=O)([H])C2=CC=CC=C21,4.6,5,1,20,24
71,C/C=C/[C@H]1[C@@H](CCC)C2=CC=CC=C21,3.2,5,1,17,26
72,CC[C@H]1[C@@H](CC)C2=CC=CC=C21,3.8,5,1,17,19
73,[H]C1(OC(C)=O)C(OC(C)=O)([H])C2=CC=CC=C21,3,5,1,20,24
74,O=C(C)OC1=CC(C(C)2C)=C(C=C1)N(C)[C@]32C=CC4=C(O3)C(OC(C)=O)=CC([N+]([O-])=O)=C4,4.6,6,1,40,47
75,CC(C(C=CC=C1)=C1N2CCOC(C)=O)(C)[C@]32OC(C(OC(C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,2.9,6,1,37,49
76,CC(C(C=CC=C1)=C1N2CCOC(C)=O)(C)[C@]32OC(C(COC(C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,2.9,6,1,42,50
77,CC(C(C=CC=C1)=C1N2CCOC(NC)=O)(C)[C@]32SC(C(COC(NC)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,2.1,6,1,52,57
78,CC(C(C=CC=C1)=C1N2CCOC(C)=O)(C)[C@]32OC(C(OC(C)=O)=CC=C4)=C4C=C3,3.5,6,1,34,46
79,CC(C(C=CC=C1)=C1N2CCOC(C)=O)(C)[C@]32OC(C(OC(C)=O)=CC(Br)=C4)=C4C=C3,3.5,6,1,34,46
80,CC1(C)[C@@]2(OC(C=CC(COC)=C3)=C3C=C2)N(CCOC)C4=CC=CC=C41,5.9,6,0,43,47
81,CC1(C)[C@@]2(OC(C=CC(OC(C)=O)=C3)=C3CC2)N(CCOC(C)=O)C4=CC=CC=C41,6,6,0,43,48
82,CC1(C)C2(OC(C=C(COC(C)=O)C=C3)=C3CC2)N(CCOC(C)=O)C4=CC=CC=C41,4.9,6,1,42,47
83,O=C(C)OC(C=C1)=CC=C1[C@](C=C2)(C3=CC=CC=C3)OC4=C2C5=CC=CC=C5C=C4OCCOC(C)=O,4.2,6,1,28,58
84,O=C(C)OC(C=C1)=CC=C1[C@](C=C2)(C3=C(F)C=CC=C3)OC4=C2C5=CC=CC=C5C=C4OCCOC(C)=O,4.8,6,1,28,58
85,CC(OCC1=CC2=CC=CC=C2C3=C1O[C@@](C4=CC=C(C=C4)OC(C)=O)(C=C3)C5=CC=CC=C5)=O,4.4,6,1,21,51
86,CC(OC(C=C1)=CC=C1[C@](C=C2)(C3=CC=C(N4CCCC4)C=C3)OC5=C2C6=CC=CC=C6C=C5OCCOC(C)=O)=O,3.9,6,1,28,57
87,CC(OC(C=C1F)=CC=C1[C@](C=C2)(C3=CC=C(N4CCCC4)C=C3)OC5=C2C6=CC=CC=C6C=C5OCCOC(C)=O)=O,4.9,6,1,28,57
88,CC(OCC1=CC2=CC=CC=C2C3=C1O[C@](C4=CC=C(N5CCCC5)C=C4)(C6=CC=C(OC(C)=O)C=C6)C=C3)=O,4.1,6,1,22,51
90,CCC(C)(C#N)/N=N/C(C)(C#N)CC,3.9,7,1,0,16
91,CC(N1CCCC1=O)OOC(N2CCCC2O)C,4.9,7,1,13,33
