Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
4005,3.6,1.5919284,1.583128433,0.967469,5,0.2,0,0.056378,0.101305
4008,4.3,1.539537029,1.437730149,0.92614059,5,0.2,0,-0.046236,0.035047
4009,4,1.5162336,1.515571065,0.82710298,3,0.333333333,0,-0.212865,-0.144253
4009-2,4,1.5160305,1.515551944,0.83050718,3,0.333333333,0,-0.216327,-0.146841
4010,3.4,1.530203104,1.527680077,0.81247495,3,0.333333333,0,-0.177588,-0.065885
4010-2,3.5,1.536073556,1.535703665,0.81199942,3,0.333333333,0,-0.153318,-0.129337
4012,3.2,1.530231295,1.509575081,0.78045164,3,0.333333333,0,-0.125824,-0.10763
4012-2,3.9,1.511521716,1.510144131,0.82753656,3,0.333333333,0,-0.13106,-0.124851
4013,5.2,1.529294788,1.42932868,0.96769901,5,0.2,0,-0.096664,0.00264
4014,5.3,1.504434584,1.31684967,0.95058875,13,0.384615385,0,-0.0546,0.098077
4015,4.8,1.514426708,1.338054197,0.96326053,13,0.38461538,0,-0.094235,-0.05644
4016,3.2,1.467554783,1.090918052,0.92988269,15,0.26666667,1,-0.288094,0.221047
4017,3.5,1.463539808,1.079050628,0.93845329,15,0.26666667,1,-0.299603,0.227584
4018,5.7,1.467275349,1.143488444,0.92450692,19,0.368421053,1,-0.325747,0.226474
4019,3.9,1.431997479,1.098668507,0.96432635,15,0.26666667,1,-0.286203,0.217291
4020,2.7,1.478092926,1.157059926,0.89956576,15,0.26666667,1,-0.294608,0.2324
4021,2.9,1.480047754,1.244998986,0.90114892,15,0.26666667,1,-0.307812,0.175745
4023,4.4,1.447645443,1.201889892,0.94013307,10,0.3,1,-0.331356,0.220927
4024-,5.5,1.450062225,1.147466462,0.96228563,19,0.368421053,1,-0.30137,0.235739
4025,5.3,1.463597075,1.079089366,0.93072401,17,0.352941176,1,-0.359226,0.183833
4026,5.4,1.526711942,1.433684708,0.99302822,8,0.375,0,-0.070672,0.056833
4027,4,1.581942832,1.572740061,0.99764848,10,0.4,0,-0.342422,-0.015518
4028,3.7,1.567215718,1.525740263,1.0130952,4,0.25,0,-0.290233,-0.012163
2059,5,1.563780983,1.3279,1.01735937,12,0.416666667,0,-0.150949,0.060582
4030,3,1.573771691,1.287525129,0.97815209,8,0.25,0,0.050522,0.15768
