Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
1,4.6,1.563574854,1.5234,1.04059988,4,0.25,0,-0.077219,-0.064145
2,5.6,1.566851256,1.3117,1.00505578,4,0.25,0,-0.07726,-0.075748
3,4.2,1.581420806,1.5495,1.0148796,4,0.25,0,-0.376695,-0.005578
4,5.3,1.591504333,1.3137,1.0075528,4,0.25,0,-0.40036,-0.014528
5,3.5,1.598286339,1.5553,0.99053464,4,0.25,0,-0.35916,-0.307216
6,4.4,1.629875999,1.3115,0.98813831,4,0.25,0,-0.337541,-0.335343
7,4.8,1.561777985,1.558,1.10685311,4,0.25,0,-0.026929,-0.009016
8,5.2,1.563373643,1.3273,1.0513863,4,0.25,0,-0.009588,0.061847
9,2.5,1.59278479,1.568,1.01709421,4,0.25,0,0.022721,0.026871
10,4.7,1.56427093,1.5108,1.03863461,4,0.25,0,-0.04858,-0.002356
11,5,1.559652776,1.5298,1.03856988,4,0.25,0,-0.098603,0.022611
14,6.3,1.582576571,1.327,1.02174553,20,0.45,0,0.031388,0.032933
15,5.5,1.619375787,1.1552,0.95024225,20,0.45,0,-0.126084,-0.125848
16,3.5,1.586404697,1.5864,1.05796415,4,0.25,0,0.059288,0.059633
17,3.4,1.589166949,1.5887,1.10085362,4,0.25,0,0.071883,0.082829
18,3.4,1.58413746,1.5808,1.05005236,4,0.25,0,0.054653,0.058357
19,4,1.585416681,1.5831,1.05231769,4,0.25,0,0.056446,0.059893
20,5.8,1.540644503,1.2126,1.08621789,4,0.25,0,-0.004777,0.013712
21,5.5,1.5372749,1.2684,1.03822672,4,0.25,0,-0.018934,0.024822
22,5,1.558657989,1.5099,1.03825688,4,0.25,0,-0.006294,-0.004433
23,4,1.585186517,1.5462,0.90213313,4,0.25,0,-0.235949,-0.166045
24,4.1,1.572784232,1.5367,1.02281024,4,0.25,0,-0.272387,0.071758
25,4.5,1.559415821,1.525,1.03099856,4,0.25,0,-0.258991,0.020723
26,4,1.565841198,1.5367,1.05469313,4,0.25,0,-0.240917,0.044769
27,3.4,1.572388423,1.5424,0.98609059,4,0.25,0,-0.336427,0.001947
28,4.5,1.554669292,1.5066,1.05228002,4,0.25,0,0.013102,0.035214
29,4.7,1.594439621,1.1803,0.99737312,4,0.25,0,-0.052584,-0.05011
30,3.7,1.576342357,1.5763,0.98299398,4,0.25,0,-0.15122,0.182105
31,3.8,1.440644492,1.2663,0.96181737,4,0.25,3,-0.186529,-0.160293
36,3.8,1.881142516,1.72975,0.97373093,0,0,7,-0.333721,0.016921
38,4.6,1.586850487,1.3865,1.02207622,9,0.3333333,0,-0.086389,-0.037244
39,4.1,1.593060925,1.4068,1.02869963,9,0.3333333,0,-0.013521,0.05453
40,4.2,1.586381379,1.3162,0.99415573,8,0.375,0,-0.04368,0.025182
41,4.7,1.582803042,1.482,1.00900466,10,0.4,0,-0.04414,0.223969
42,4.2,1.5875848,1.4886,0.97203293,8,0.375,0,-0.04082,-0.004624
43,4.1,1.590242254,1.4903,0.97377808,8,0.375,0,-0.051335,-0.012383
44,4.2,1.581247451,1.3112,1.00590127,8,0.375,0,-0.045482,0.048414
45,4,1.588295348,1.4913,0.96649217,8,0.375,0,-0.035488,-0.009974
46,4.6,1.610236962,1.3747,0.99493463,8,0.375,0,-0.190297,0.013238
47,4.3,1.587477369,1.4886,0.97476024,8,0.375,0,-0.052403,-0.0146
50,3.9,1.528118859,1.5281,0.8791646,3,0.333333333,0,-0.012961,-0.012018
51,3.7,1.528564156,1.5286,0.88276632,3,0.333333333,0,-0.016957,-0.01572
52,3.7,1.54254805,1.5425,0.87556992,3,0.333333333,0,-0.091094,-0.090645
