Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4001,5,6,1.575511804,2.55,0,2.55,0,0,0,5,5,3,3
4001,2,6,1.567686216,2.55,0,2.55,0,0,0,5,5,3,3
4001,4,5,1.553116095,2.55,0,2.55,0,0,0,5,5,3,3
4001,3,4,1.542463943,2.55,0,2.55,0,0,0,6,5,3,3
4001,1,2,1.508980394,2.55,0,2.55,0,0,0,6,5,2,3
4001,0,3,1.49930898,2.55,0,2.55,0,0,0,6,6,3,3
4001,2,28,1.417333924,2.55,0,3.44,1,0,0,5,5,3,2
4001,4,28,1.412871651,2.55,0,3.44,1,0,0,5,5,3,2
4001,0,1,1.35268712,2.55,0,2.55,0,0,0,6,6,3,2
4001,5,16,1.53112448,2.55,0,2.55,0,0,0,5,0,3,3
4001,6,14,1.527790185,2.55,0,2.55,0,0,0,5,0,3,2
4001,0,7,1.496300517,2.55,0,2.55,0,0,0,6,0,3,3
4001,18,19,1.434021684,3.44,1,2.55,0,0,0,0,0,2,1
4001,8,9,1.42846457,3.44,1,2.55,0,0,0,0,0,2,1
4001,7,8,1.352039817,2.55,0,3.44,1,0,0,0,0,3,2
4001,16,18,1.345065594,2.55,0,3.44,1,0,0,0,0,3,2
4001,3,26,1.209525479,2.55,0,3.44,1,0,0,6,0,3,1
4001,14,23,1.204445934,2.55,0,3.44,1,0,0,0,0,2,1
4001,7,13,1.203929222,2.55,0,3.44,1,0,0,0,0,3,1
4001,16,25,1.202994654,2.55,0,3.44,1,0,0,0,0,3,1
4003,4,5,1.580052577,2.55,0,2.55,0,0,0,5,5,4,3
4003,5,6,1.572203504,2.55,0,2.55,0,0,0,5,5,3,3
4003,2,6,1.564311364,2.55,0,2.55,0,0,0,5,5,3,3
4003,3,4,1.55177827,2.55,0,2.55,0,0,0,6,5,3,4
4003,1,2,1.516032766,2.55,0,2.55,0,1,0,6,5,3,3
4003,0,3,1.493494117,2.55,0,2.55,0,1,0,6,6,3,3
4003,4,12,1.429650641,2.55,0,3.44,1,0,0,5,5,4,2
4003,2,12,1.422785872,2.55,0,3.44,1,0,0,5,5,3,2
4003,0,1,1.41037169,2.55,0,2.55,0,1,1,6,6,3,3
4003,18,19,1.407287663,2.55,0,2.55,0,1,1,6,6,2,3
4003,19,20,1.405775744,2.55,0,2.55,0,1,1,6,6,3,2
4003,0,17,1.399662634,2.55,0,2.55,0,1,1,6,6,3,2
