Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
1,4,6,1.564019145,2.55,0,2.55,0,0,0,4,4,3,2
1,2,4,1.563574854,2.55,0,2.55,0,0,0,4,4,3,3
1,3,6,1.549091883,2.55,0,2.55,0,0,0,4,4,2,2
1,2,3,1.548739113,2.55,0,2.55,0,0,0,4,4,3,2
1,20,21,1.521542959,2.55,0,2.55,0,0,0,0,0,2,2
1,16,17,1.516091922,2.55,0,2.55,0,0,0,0,0,2,2
1,4,11,1.512668201,2.55,0,2.55,0,0,0,4,0,3,3
1,0,2,1.510638742,2.55,0,2.55,0,0,0,0,4,3,3
1,35,36,1.509123966,2.55,0,2.55,0,0,0,0,0,3,1
1,30,31,1.508871486,2.55,0,2.55,0,0,0,0,0,3,1
1,15,20,1.432483693,3.44,1,2.55,0,0,0,0,0,2,2
1,1,16,1.431766561,3.44,1,2.55,0,0,0,0,0,2,2
1,21,27,1.430757324,2.55,0,3.44,1,0,0,0,0,2,2
1,17,24,1.429676621,2.55,0,3.44,1,0,0,0,0,2,2
1,24,30,1.353279848,3.44,1,2.55,0,0,0,0,0,2,3
1,27,35,1.352507326,3.44,1,2.55,0,0,0,0,0,2,3
1,11,15,1.346103592,2.55,0,3.44,1,0,0,0,0,3,2
1,0,1,1.345926609,2.55,0,3.44,1,0,0,0,0,3,2
1,11,14,1.209624525,2.55,0,3.44,1,0,0,0,0,3,1
1,0,13,1.206901679,2.55,0,3.44,1,0,0,0,0,3,1
1,35,41,1.204651065,2.55,0,3.44,1,0,0,0,0,3,1
1,30,40,1.204430144,2.55,0,3.44,1,0,0,0,0,3,1
2,2,4,1.566851256,2.55,0,2.55,0,0,0,4,4,3,3
2,4,6,1.556107732,2.55,0,2.55,0,0,0,4,4,3,2
2,2,3,1.555436717,2.55,0,2.55,0,0,0,4,4,3,2
2,3,6,1.547047041,2.55,0,2.55,0,0,0,4,4,2,2
2,16,17,1.516331788,2.55,0,2.55,0,0,0,0,0,2,2
2,20,21,1.516180073,2.55,0,2.55,0,0,0,0,0,2,2
2,4,11,1.510131251,2.55,0,2.55,0,0,0,4,0,3,3
2,0,2,1.510129799,2.55,0,2.55,0,0,0,0,4,3,3
2,35,36,1.508580056,2.55,0,2.55,0,0,0,0,0,3,1
2,30,31,1.508579229,2.55,0,2.55,0,0,0,0,0,3,1
2,1,16,1.430551267,3.44,1,2.55,0,0,0,0,0,2,2
2,15,20,1.430444732,3.44,1,2.55,0,0,0,0,0,2,2
2,17,24,1.429078403,2.55,0,3.44,1,0,0,0,0,2,2
