Molecule,Atom 1,Atom 2,Bond Length,Cos Part Angles,Cos(Length),InRing_B,Mayer,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Bond Type,MullikenCharge1,MullikenCharge2,Neighbour1,Neighbour2,MaxRing,Ratio,IsBroken
4001,4,5,1.5531161,0.68436094,1.062891988,5,1.0233808,2.55,0,2.55,0,0,0,5,5,0,0.153553,-0.004328,3,3,7,0.428571429,0
4001,3,4,1.54246394,0.80990001,1.249241569,6,0.91251701,2.55,0,2.55,0,0,0,6,5,0,0.09627,0.153553,3,3,7,0.428571429,0
4001,0,3,1.49930898,0.73023685,1.094850661,6,0.95199582,2.55,0,2.55,0,0,0,6,6,0,-0.079206,0.09627,3,3,7,0.428571429,0
4001,5,16,1.53112448,0.68583706,1.05010191,0,0.91817929,2.55,0,2.55,0,0,0,5,0,0,-0.004328,0.204273,3,3,0,0,0
4001,7,0,1.49630052,0.73853275,1.105066929,0,0.92505606,2.55,0,2.55,0,0,0,0,6,0,0.21611,-0.079206,3,3,0,0,0
4001,18,19,1.43402168,0.86043508,1.233882563,0,0.90438998,3.44,1,2.55,0,0,0,0,0,1,-0.326362,0.193201,2,1,0,0,0
4001,9,8,1.42846457,0.85654639,1.223546173,0,0.92016415,2.55,0,3.44,1,0,0,0,0,1,0.194413,-0.321165,1,2,0,0,0
4001,8,7,1.35203982,0.68615807,0.927713029,0,1.19107268,3.44,1,2.55,0,0,0,0,0,1,-0.321165,0.21611,2,3,0,0,0
4001,16,18,1.34506559,0.68323526,0.918996247,0,1.15397882,2.55,0,3.44,1,0,0,0,0,1,0.204273,-0.326362,3,2,0,0,0
4003,5,6,1.572203504,0.712984493,1.120956717,5,1.0004462,2.55,0,2.55,0,0,0,5,5,0,0.040417,-0.028124,3,3,11,0.454545455,0
4003,6,2,1.564311364,0.785075245,1.228102127,5,1.03602672,2.55,0,2.55,0,0,0,5,5,0,-0.028124,0.20554,3,3,11,0.454545455,0
4003,2,1,1.516032766,0.826180386,1.252516535,6,0.94065223,2.55,0,2.55,0,0,1,5,6,0,0.20554,0.048792,3,3,11,0.454545455,0
4003,7,5,1.52866331,0.769926495,1.176958384,0,0.90493484,2.55,0,2.55,0,0,0,0,5,0,0.008445,0.040417,3,3,0,0,0
4003,15,14,1.517570336,0.861498268,1.307384216,0,1.07374572,2.55,0,2.55,0,0,0,0,0,0,0.006205,0.050513,3,1,0,0,0
4003,9,7,1.513716793,0.8512464,1.288545971,0,1.04533437,2.55,0,2.55,0,0,0,0,0,0,0.064409,0.008445,1,3,0,0,0
4003,19,15,1.507244398,0.746446273,1.125076964,0,0.90553643,2.55,0,2.55,0,1,0,6,0,0,0.047769,0.006205,3,3,0,0,0
4005,6,2,1.5919284,0.994472134,1.583128433,5,0.967469,2.55,0,2.55,0,0,0,5,5,0,0.101305,0.056378,3,4,5,0.2,1
4005,2,16,1.562256294,0.962658512,1.503919319,0,0.81296034,2.55,0,2.55,0,0,0,5,0,0,0.056378,-0.014912,4,3,0,0,0
