Molecule,Atom 1,Atom 2,Bond Length,Standardised Bond Length,Cos Part Angles,Cos(Length),InRing_B,Mayer,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Bond Type,MullikenCharge1,MullikenCharge2,Neighbour1,Neighbour2,MaxRing,Ratio,IsBroken,,,,
1,2,4,1.563574854,1.023281972,0.974307135,1.523402136,4,1.04059988,2.55,0,2.55,0,0,0,4,4,0,-0.064145,-0.077219,3,3,4,0.25,1,,,,
1,20,21,1.521542959,0.995774188,0.666628911,1.014304526,0,1.07426637,2.55,0,2.55,0,0,0,0,0,0,0.222945,0.192931,2,2,0,0,0,,,,
1,17,16,1.516091922,0.992206756,0.647441196,0.981580368,0,1.0455706,2.55,0,2.55,0,0,0,0,0,0,0.211758,0.213321,2,2,0,0,0,,,,
1,4,11,1.512668201,0.9899661,0.7304203,1.104883562,0,0.93687101,2.55,0,2.55,0,0,0,4,0,0,-0.077219,0.202643,3,3,0,0,0,,,,
1,0,2,1.510638742,0.98863792,0.735247189,1.110692888,0,0.95291791,2.55,0,2.55,0,0,0,0,4,0,0.211492,-0.064145,3,3,0,0,0,,,,
1,35,36,1.509123966,0.987646575,0.844821969,1.27494108,0,1.04416683,2.55,0,2.55,0,0,0,0,0,0,0.119778,0.050022,3,1,0,0,0,,,,
1,31,30,1.508871486,0.987481339,0.844695779,1.274537376,0,1.04430422,2.55,0,2.55,0,0,0,0,0,0,0.050978,0.118058,1,3,0,0,0,,,,
1,15,20,1.432483693,1.018112078,0.819279857,1.173605036,0,0.90748416,3.44,1,2.55,0,0,0,0,0,1,-0.297731,0.222945,2,2,0,0,0,,,,
1,16,1,1.431766561,1.017602388,0.680804402,0.974752977,0,0.89998347,2.55,0,3.44,1,0,0,0,0,1,0.213321,-0.311833,2,2,0,0,0,,,,
1,21,27,1.430757324,1.016885092,0.678306548,0.970492061,0,0.91308906,2.55,0,3.44,1,0,0,0,0,1,0.192931,-0.328512,2,2,0,0,0,,,,
1,24,17,1.429676621,1.016117002,0.678454994,0.969971244,0,0.91083394,3.44,1,2.55,0,0,0,0,0,1,-0.327807,0.211758,2,2,0,0,0,,,,
1,30,24,1.353279848,0.961819366,0.6865098,0.929039878,0,1.12797007,2.55,0,3.44,1,0,0,0,0,1,0.118058,-0.327807,3,2,0,0,0,,,,
1,27,35,1.352507326,0.96127031,0.686182469,0.928066816,0,1.12886633,3.44,1,2.55,0,0,0,0,0,1,-0.328512,0.119778,2,3,0,0,0,,,,
1,11,15,1.346103592,0.956718971,0.693248782,0.933184675,0,1.18876175,2.55,0,3.44,1,0,0,0,0,1,0.202643,-0.297731,3,2,0,0,0,,,,
1,1,0,1.345926609,0.956593183,0.688646344,0.926867438,0,1.18236971,3.44,1,2.55,0,0,0,0,0,1,-0.311833,0.211492,2,3,0,0,0,,,,
2,2,4,1.566851256,1.025426214,0.837138021,1.311670759,4,1.00505578,2.55,0,2.55,0,0,0,4,4,0,-0.075748,-0.07726,3,3,4,0.25,1,,,,
2,17,16,1.516331788,0.992363736,0.648230585,0.982932642,0,1.0451141,2.55,0,2.55,0,0,0,0,0,0,0.210292,0.214366,2,2,0,0,0,,,,
2,20,21,1.516180073,0.992264446,0.648069661,0.982590306,0,1.04482062,2.55,0,2.55,0,0,0,0,0,0,0.214784,0.210321,2,2,0,0,0,,,,
2,4,11,1.510131251,0.988305792,0.917205473,1.385100648,0,0.96982075,2.55,0,2.55,0,0,0,4,0,0,-0.07726,0.206172,3,3,0,0,0,,,,
2,0,2,1.510129799,0.988304842,0.911003571,1.375733639,0,0.96943505,2.55,0,2.55,0,0,0,0,4,0,0.205541,-0.075748,3,3,0,0,0,,,,
2,35,36,1.508580056,0.987290613,0.844678359,1.274264926,0,1.04426613,2.55,0,2.55,0,0,0,0,0,0,0.118884,0.050081,3,1,0,0,0,,,,
2,31,30,1.508579229,0.987290072,0.844584441,1.274122545,0,1.04415496,2.55,0,2.55,0,0,0,0,0,0,0.049999,0.118871,1,3,0,0,0,,,,
2,16,1,1.430551267,1.01673864,0.681197301,0.974487662,0,0.90044555,2.55,0,3.44,1,0,0,0,0,1,0.214366,-0.327503,2,2,0,0,0,,,,
2,15,20,1.430444732,1.016662923,0.68098075,0.974105327,0,0.90024025,3.44,1,2.55,0,0,0,0,0,1,-0.327614,0.214784,2,2,0,0,0,,,,
2,24,17,1.429078403,1.015691829,0.679518642,0.971085415,0,0.91250035,3.44,1,2.55,0,0,0,0,0,1,-0.327512,0.210292,2,2,0,0,0,,,,
2,21,27,1.428859186,1.015536024,0.679379092,0.970737057,0,0.9126215,2.55,0,3.44,1,0,0,0,0,1,0.210321,-0.327471,2,2,0,0,0,,,,
2,30,24,1.35394593,0.962292772,0.68630097,0.929214405,0,1.1266737,2.55,0,3.44,1,0,0,0,0,1,0.118871,-0.327512,3,2,0,0,0,,,,
2,27,35,1.353920364,0.962274601,0.686191278,0.929048345,0,1.12668419,3.44,1,2.55,0,0,0,0,0,1,-0.327471,0.118884,2,3,0,0,0,,,,
2,1,0,1.352520249,0.961279494,0.690003008,0.93324304,0,1.16034954,3.44,1,2.55,0,0,0,0,0,1,-0.327503,0.205541,2,3,0,0,0,,,,
2,11,15,1.352456745,0.961234361,0.68976477,0.932877016,0,1.1600152,2.55,0,3.44,1,0,0,0,0,1,0.206172,-0.327614,3,2,0,0,0,,,,
3,2,4,1.581420806,1.034961261,0.979825306,1.549516125,4,1.0148796,2.55,0,2.55,0,0,0,4,4,0,-0.376695,-0.005578,4,3,4,0.25,1,,,,
3,0,2,1.534751548,1.004418552,0.733530482,1.125787043,0,0.85522737,2.55,0,2.55,0,0,0,0,4,0,0.265088,-0.376695,3,4,0,0,0,,,,
3,20,21,1.521401978,0.995681923,0.664837969,1.011485801,0,1.07484272,2.55,0,2.55,0,0,0,0,0,0,0.221312,0.192811,2,2,0,0,0,,,,
3,17,16,1.516027306,0.992164467,0.646048082,0.979426534,0,1.04655467,2.55,0,2.55,0,0,0,0,0,0,0.210241,0.211368,2,2,0,0,0,,,,
3,4,11,1.514926022,0.991443732,0.724484494,1.097540412,0,0.93185244,2.55,0,2.55,0,0,0,4,0,0,-0.005578,0.212996,3,3,0,0,0,,,,
3,35,36,1.508508719,0.987243926,0.844644195,1.274153133,0,1.04522239,2.55,0,2.55,0,0,0,0,0,0,0.12001,0.050446,3,1,0,0,0,,,,
3,31,30,1.508247725,0.987073118,0.844389267,1.27354819,0,1.04529736,2.55,0,2.55,0,0,0,0,0,0,0.051111,0.11873,1,3,0,0,0,,,,
3,16,1,1.43651172,1.020974925,0.682244974,0.9800529,0,0.88421549,2.55,0,3.44,1,0,0,0,0,1,0.211368,-0.302351,2,2,0,0,0,,,,
3,15,20,1.435389115,1.020177054,0.815418592,1.170442972,0,0.89686853,3.44,1,2.55,0,0,0,0,0,1,-0.291883,0.221312,2,2,0,0,0,,,,
3,21,27,1.429129904,1.015728432,0.677388464,0.96807611,0,0.91763646,2.55,0,3.44,1,0,0,0,0,1,0.192811,-0.328792,2,2,0,0,0,,,,
3,24,17,1.428320444,1.015153123,0.676485755,0.966238434,0,0.91428015,3.44,1,2.55,0,0,0,0,0,1,-0.329139,0.210241,2,2,0,0,0,,,,
3,30,24,1.355115765,0.963124211,0.686103538,0.929749721,0,1.12106924,2.55,0,3.44,1,0,0,0,0,1,0.11873,-0.329139,3,2,0,0,0,,,,
3,27,35,1.354193089,0.962468435,0.685898785,0.928839394,0,1.12301587,3.44,1,2.55,0,0,0,0,0,1,-0.328792,0.12001,2,3,0,0,0,,,,
3,11,15,1.341175165,0.95321618,0.692007428,0.928103177,0,1.20950422,2.55,0,3.44,1,0,0,0,0,1,0.212996,-0.291883,3,2,0,0,0,,,,
3,1,0,1.336122362,0.94962499,0.683028466,0.912609607,0,1.21771595,3.44,1,2.55,0,0,0,0,0,1,-0.302351,0.265088,2,3,0,0,0,,,,
4,2,4,1.591504333,1.041560428,0.825432417,1.313679269,4,1.0075528,2.55,0,2.55,0,0,0,4,4,0,-0.014528,-0.40036,3,4,4,0.25,1,,,,
4,4,11,1.53030176,1.001506388,0.928680865,1.421161963,0,0.88710147,2.55,0,2.55,0,0,0,4,0,0,-0.40036,0.268504,4,3,0,0,0,,,,
4,16,15,1.516987465,0.992792844,0.646253688,0.980358744,0,1.05200736,2.55,0,2.55,0,0,0,0,0,0,0.204706,0.210914,2,2,0,0,0,,,,
4,19,20,1.516020219,0.992159829,0.646844914,0.980629969,0,1.04441314,2.55,0,2.55,0,0,0,0,0,0,0.214091,0.209662,2,2,0,0,0,,,,
4,0,2,1.514527447,0.991182884,0.837419056,1.268294144,0,0.94759685,2.55,0,2.55,0,0,0,0,4,0,0.204031,-0.014528,3,3,0,0,0,,,,
4,30,29,1.508890525,0.987493799,0.844453837,1.274188393,0,1.04354909,2.55,0,2.55,0,0,0,0,0,0,0.049812,0.119879,1,3,0,0,0,,,,
4,34,35,1.507856802,0.986817279,0.844447658,1.273306145,0,1.0463005,2.55,0,2.55,0,0,0,0,0,0,0.118441,0.051842,3,1,0,0,0,,,,
4,14,19,1.435723394,1.020414637,0.681310097,0.978172845,0,0.88472621,3.44,1,2.55,0,0,0,0,0,1,-0.325008,0.214091,2,2,0,0,0,,,,
4,15,1,1.433793751,1.019043178,0.691315606,0.991203996,0,0.88676488,2.55,0,3.44,1,0,0,0,0,1,0.210914,-0.315565,2,2,0,0,0,,,,
4,23,16,1.429652602,1.016099931,0.678313492,0.969752648,0,0.909715,3.44,1,2.55,0,0,0,0,0,1,-0.329719,0.204706,2,2,0,0,0,,,,
4,20,26,1.427604457,1.014644248,0.676259146,0.965430571,0,0.91709194,2.55,0,3.44,1,0,0,0,0,1,0.209662,-0.328109,2,2,0,0,0,,,,
4,26,34,1.355615334,0.963479271,0.685779457,0.929653147,0,1.11981289,3.44,1,2.55,0,0,0,0,0,1,-0.328109,0.118441,2,3,0,0,0,,,,
4,29,23,1.353712066,0.962126558,0.686366258,0.929142286,0,1.1259867,2.55,0,3.44,1,0,0,0,0,1,0.119879,-0.329719,3,2,0,0,0,,,,
4,11,14,1.344898411,0.95586241,0.681499685,0.916547843,0,1.17779775,2.55,0,3.44,1,0,0,0,0,1,0.268504,-0.325008,3,2,0,0,0,,,,
4,1,0,1.342461269,0.954130255,0.694151987,0.931872158,0,1.1781929,3.44,1,2.55,0,0,0,0,0,1,-0.315565,0.204031,2,3,0,0,0,,,,
5,2,4,1.598286339,1.045998913,0.973101799,1.555295313,4,0.99053464,2.55,0,2.55,0,0,0,4,4,0,-0.307216,-0.35916,4,4,4,0.25,1,,,,
5,4,10,1.540600998,1.008246726,0.728586736,1.122461453,0,0.84391378,2.55,0,2.55,0,0,0,4,0,0,-0.35916,0.274961,4,3,0,0,0,,,,
5,0,2,1.53638327,1.005486434,0.717336826,1.102104299,0,0.84693608,2.55,0,2.55,0,0,0,0,4,0,0.269874,-0.307216,3,4,0,0,0,,,,
5,18,19,1.521303929,0.995617754,0.664177858,1.010416384,0,1.07338253,2.55,0,2.55,0,0,0,0,0,0,0.222605,0.189243,2,2,0,0,0,,,,
