Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
1,4.6,1.56357485,1.5234,1.04059988,4,0.25,0,-0.077219,-0.064145,22.6564728,25.6773358,0.01166,0.01152,0.01862,0.01856
2,5.6,1.56685126,1.3117,1.00505578,4,0.25,0,-0.07726,-0.075748,22.6627531,25.6844535,0.0136,0.01353,0.02191,0.02178
3,4.2,1.58142081,1.5495,1.0148796,4,0.25,0,-0.376695,-0.005578,22.649003,25.6688701,0.02132,0.01745,0.01157,0.0111
4,5.3,1.59150433,1.3137,1.0075528,4,0.25,0,-0.40036,-0.014528,22.6521564,25.6724439,0.02795,0.02442,0.01564,0.01259
5,3.5,1.59828634,1.5553,0.99053464,4,0.25,0,-0.35916,-0.307216,22.6407489,25.6595154,0.02771,0.02769,0.00732,0.00719
6,4.4,1.629876,1.3115,0.98813831,4,0.25,0,-0.337541,-0.335343,22.6400893,25.6587679,0.05288,0.05251,0.00921,0.00903
7,4.8,1.56177799,1.558,1.10685311,4,0.25,0,-0.026929,-0.009016,9.99463593,31.4117129,0.00541,0.00518,0.02467,0.02355
8,5.2,1.56337364,1.3273,1.0513863,4,0.25,0,-0.009588,0.061847,22.7213086,25.7508164,0.00852,0.00792,0.02721,0.02659
9,2.5,1.59278479,1.568,1.01709421,4,0.25,0,0.022721,0.026871,22.702187,25.7291452,0.00899,0.00737,0.05309,0.04977
10,4.7,1.56427093,1.5108,1.03863461,4,0.25,0,-0.04858,-0.002356,10.1358935,13.0318631,0.00291,0.00248,0.02338,0.01704
11,5,1.55965278,1.5298,1.03856988,4,0.25,0,-0.098603,0.022611,13.7664279,27.5328558,0.01596,0.01022,0.02935,0.02705
14,6.3,1.58257657,1.327,1.02174553,20,0.45,0,0.031388,0.032933,18.4210222,29.7570359,0.01099,0.01095,0.0383,0.03829
15,5.5,1.61937579,1.1552,0.95024225,20,0.45,0,-0.126084,-0.125848,31.7145711,43.7963125,0.00689,0.00687,0.02047,0.02046
16,3.5,1.5864047,1.5864,1.05796415,4,0.25,0,0.059288,0.059633,10.47994,26.9484172,0.00454,0.00452,0.03963,0.03935
17,3.4,1.58916695,1.5887,1.10085362,4,0.25,0,0.071883,0.082829,10.4828219,26.9558279,0.00389,0.00355,0.03795,0.02717
18,3.4,1.58413746,1.5808,1.05005236,4,0.25,0,0.054653,0.058357,10.4719792,29.9199404,0.00795,0.00774,0.03111,0.03057
19,4,1.58541668,1.5831,1.05231769,4,0.25,0,0.056446,0.059893,10.4816453,26.9528023,0.00313,0.0031,0.038,0.03688
20,5.8,1.5406445,1.2126,1.08621789,4,0.25,0,-0.004777,0.013712,25.7256256,33.2919861,0.00442,0.00429,0.01939,0.0149
21,5.5,1.5372749,1.2684,1.03822672,4,0.25,0,-0.018934,0.024822,22.6651175,31.7311645,0.00723,0.00632,0.01978,0.01852
22,5,1.55865799,1.5099,1.03825688,4,0.25,0,-0.006294,-0.004433,22.6563794,31.7189311,0.00928,0.00927,0.0193,0.01816
23,4,1.58518652,1.5462,0.90213313,4,0.25,0,-0.235949,-0.166045,22.6461514,31.704612,0.05702,0.02711,0.01226,0.00974
24,4.1,1.57278423,1.5367,1.02281024,4,0.25,0,-0.272387,0.071758,22.6454443,31.703622,0.01716,0.01306,0.0132,0.01022
25,4.5,1.55941582,1.525,1.03099856,4,0.25,0,-0.258991,0.020723,4.58293589,16.8040983,0.00785,0.00326,0.06831,0.0422
26,4,1.5658412,1.5367,1.05469313,4,0.25,0,-0.240917,0.044769,4.58573661,12.228631,0.00727,0.00313,0.06964,0.045
27,3.4,1.57238842,1.5424,0.98609059,4,0.25,0,-0.336427,0.001947,4.57896164,22.8948082,0.00674,0.00314,0.0433,0.0402
28,4.5,1.55466929,1.5066,1.05228002,4,0.25,0,0.013102,0.035214,9.998558,19.997116,0.0153,0.01529,0.04508,0.03531
29,4.7,1.59443962,1.1803,0.99737312,4,0.25,0,-0.052584,-0.05011,4.57597534,12.2026009,0.01156,0.01113,0.07914,0.06662
30,3.7,1.57634236,1.5763,0.98299398,4,0.25,0,-0.15122,0.182105,18.1379612,21.1609548,0.013,0.00743,0.0403,0.03365
31,3.8,1.44064449,1.2663,0.96181737,4,0.25,3,-0.186529,-0.160293,31.7303681,34.7523079,0.00605,0.00152,0.24554,0.17539
36,3.8,1.88114252,1.72975,0.97373093,0,0,6,-0.333721,0.016921,30.2541353,39.3303759,0.02074,0.00426,0.159955,0.01549
38,4.6,1.58685049,1.3865,1.02207622,9,0.3333333,0,-0.086389,-0.037244,18.149989,30.2499817,0.00979,0.00783,0.00641,0.006
39,4.1,1.59306093,1.4068,1.02869963,9,0.3333333,0,-0.013521,0.05453,25.6942061,37.7855972,0.00691,0.00659,0.01083,0.00644
40,4.2,1.58638138,1.3162,0.99415573,8,0.375,0,-0.04368,0.025182,18.1257201,24.1676268,0.01083,0.01063,0.01534,0.00872
41,4.7,1.58280304,1.482,1.00900466,10,0.4,0,-0.04414,0.223969,19.666202,25.7173411,0.01525,0.01277,0.0201,0.01851
42,4.2,1.5875848,1.4886,0.97203293,8,0.375,0,-0.04082,-0.004624,18.1385569,24.1847425,0.01178,0.01157,0.01113,0.00885
43,4.1,1.59024225,1.4903,0.97377808,8,0.375,0,-0.051335,-0.012383,16.6233877,22.6682559,0.01233,0.01164,0.01047,0.00901
44,4.2,1.58124745,1.3112,1.00590127,8,0.375,0,-0.045482,0.048414,18.1260438,24.1680584,0.01025,0.01016,0.00996,0.00925
45,4,1.58829535,1.4913,0.96649217,8,0.375,0,-0.035488,-0.009974,18.3249556,23.9634035,0.00643,0.00622,0.01349,0.00722
46,4.6,1.61023696,1.3747,0.99493463,8,0.375,0,-0.190297,0.013238,22.6702718,30.2270291,0.00413,0.00181,0.01343,-0.0019
47,4.3,1.58747737,1.4886,0.97476024,8,0.375,0,-0.052403,-0.0146,16.5923693,22.6259582,0.01424,0.0105,0.00836,0.00154
50,3.9,1.52811886,1.5281,0.8791646,3,0.33333333,0,-0.012961,-0.012018,10.703834,12.2329531,0.02279,0.02278,0.09652,0.09542
51,3.7,1.52856416,1.5286,0.88276632,3,0.33333333,0,-0.016957,-0.01572,10.7045396,12.2337595,0.02285,0.02284,0.09561,0.095
52,3.7,1.54254805,1.5425,0.87556992,3,0.33333333,0,-0.091094,-0.090645,10.705576,12.2349441,0.0195,0.01947,0.10698,0.10654
53,3.5,1.54164454,1.5416,0.86870132,3,0.33333333,0,-0.07032,-0.070102,10.7069437,12.236507,0.01796,0.01793,0.11049,0.1099
54,3.5,1.53208063,1.5321,0.89215882,3,0.33333333,0,0.039853,0.04121,13.7664759,18.3553012,0.02104,0.02098,0.08704,0.07933
55,4,1.52686122,1.5269,0.89269564,3,0.33333333,0,-0.028265,-0.027361,7.67446998,9.20936398,0.02296,0.02289,0.09185,0.09163
56,3.6,1.53190585,1.5314,0.84875578,3,0.33333333,0,-0.0589,0.050802,7.67392534,9.20871041,0.01698,0.0091,0.12682,0.05265
58,4.1,1.52836451,1.5284,0.88132094,3,0.33333333,0,-0.033193,-0.032355,7.6729917,9.20759004,0.02229,0.02228,0.10362,0.10341
59,3.8,1.53373741,1.5337,0.8786977,3,0.33333333,0,0.034646,0.036477,13.7662976,18.3550635,0.01635,0.01625,0.09225,0.0884
60,3.4,1.53928301,1.5392,0.84748279,3,0.33333333,0,-0.053057,0.039649,8.97753237,10.4737878,0.01384,0.01368,0.11702,0.09903
61,3.9,1.54116302,1.5411,0.85304798,3,0.33333333,0,-0.054728,0.036503,8.98431513,10.481701,0.01457,0.01407,0.11491,0.10077
62,5.4,1.52349008,1.2276,0.86464233,3,0.33333333,0,-0.03981,-0.036895,19.9241294,21.4567548,0.00281,0.00249,0.01431,0.01395
63,4,1.53424642,1.5342,0.8721383,3,0.33333333,0,-0.045425,-0.020664,19.9246508,21.4573163,0.00727,0.00686,0.00882,0.0058
64,5.3,1.51018709,1.1384,0.92271127,3,0.33333333,0,0.026027,0.04705,10.0169967,11.4479962,0.02161,0.02054,0.11047,0.09059
65,5.8,1.50914169,1.5083,1.00157959,3,0.33333333,0,0.038976,0.06968,10.0054211,11.434767,0.02084,0.01819,0.09732,0.09726
66,6.4,1.47734915,1.4773,1.04284045,3,0.33333333,0,0.097167,0.124363,13.7690768,18.358769,0.00455,0.00245,0.13169,0.12765
67,6.2,1.48380506,1.4837,0.99290442,3,0.33333333,0,0.063441,0.106377,10.7114796,12.241691,0.02229,0.01873,0.16452,0.11877
68,4,1.60900515,1.6089,1.01421627,4,0.25,0,-0.000336,0.076162,10.7135361,19.8965671,0.01194,0.00837,0.06484,0.0444
69,4.3,1.58677417,1.2416,1.03183709,4,0.25,0,0.013005,0.013802,7.66378784,16.8603332,0.00996,0.00993,0.05048,0.05046
70,4.6,1.56113485,1.1909,1.04719037,4,0.25,0,0.273791,0.276086,10.5802115,19.6489642,0.01621,0.01605,0.03392,0.03391
71,3.2,1.59935413,1.5992,1.0287012,4,0.25,0,-0.02786,0.152173,10.7018787,19.8749176,0.01268,0.01061,0.05555,0.04438
72,3.8,1.59734875,1.5973,1.03017341,4,0.25,0,-0.003481,-0.003412,7.67247212,16.8794387,0.01149,0.01148,0.05179,0.05178
73,3,1.57584098,1.5758,1.00410316,4,0.25,0,0.255308,0.255451,10.5513115,19.5952928,0.01747,0.01744,0.03442,0.03438
74,4.6,1.47759308,1.0559,0.8862862,19,0.36842105,1,-0.296283,0.218378,19.5489242,28.5715045,0.03814,0.00574,0.05099,0.02273
75,2.9,1.47984197,1.1685,0.88811067,15,0.26666667,1,-0.299033,0.225361,18.0810702,34.6553846,0.03954,0.00572,0.04383,0.02116
76,2.9,1.47700563,1.1125,0.8935477,15,0.26666667,1,-0.300339,0.222694,19.6301081,36.2401996,0.04154,0.00668,0.02776,0.01933
77,2.1,1.9221468,1.3049,0.94939,15,0.26666667,6,-0.069851,0.057912,21.7300949,37.6654979,0.0996,0.01188,0.15889,0.00355
78,3.5,1.4650301,1.1601,0.92246599,15,0.26666667,1,-0.311833,0.23241,18.1371188,34.7628111,0.01632,0.00584,0.09166,0.02259
79,3.4,1.46845861,1.1718,0.91523263,15,0.26666667,1,-0.30994,0.233088,18.0282026,34.5540551,0.01761,0.00627,0.09685,0.0211
82,4.9,1.46037343,1.1048,0.94897044,15,0.33333333,1,-0.308834,0.227215,21.1852179,34.8042865,0.01926,0.00653,0.09429,0.02173
83,4.2,1.44488045,1.198,0.94286463,10,0.3,1,-0.31261,0.200608,24.2051366,36.3077049,0.02,0.00944,0.15907,0.01616
84,4.8,1.44730324,1.2013,0.95406079,10,0.3,1,-0.306826,0.23141,24.2104902,36.3157354,0.01938,0.007,0.17845,0.01855
85,4.4,1.45312051,1.1927,0.93683714,10,0.3,1,-0.33149,0.23129,21.2164439,33.3401261,0.01725,0.00952,0.16749,0.01652
86,3.9,1.44855052,1.1994,0.93737404,10,0.3,1,-0.312104,0.205483,24.211885,36.3178275,0.01802,0.00781,0.05132,0.00981
87,4.9,1.44595543,1.1971,0.95678551,10,0.3,1,-0.301568,0.247651,24.2106757,36.3160135,0.01692,0.00859,0.04272,0.00903
88,4.1,1.45600475,1.194,0.93004099,10,0.3,1,-0.33172,0.235766,21.2275151,33.3575237,0.01555,0.00794,0.06217,0.00995
90,3.9,1.49697589,1.0899,0.91636459,0,0,2,-0.167747,-0.1253505,10.7232729,10.7232729,0.216695,0.02059,0.40803,0.071415
91,4.9,1.44324008,1.0228,0.90724789,0,0,4,-0.246483,-0.243217,7.66217682,7.66217682,0.03151,0.02891,0.14384,0.13428
92,2.1,2.141217077,1.7109,0.99303505,0,0,5,-0.045082,-0.042799,15.2577363,15.2577363,0.11404,0.11363,0.31506,0.3122
93,3.5,2.08464921,1.5697,1.09306843,0,0,5,-0.081873,-0.053431,16.6317554,16.6317554,0.15243,0.14188,0.50247,0.42533
94,3.5,1.63534321,1.1509,0.90529049,0,0,0,-0.170447,-0.1524,22.9420971,22.9420971,0.01471,0.01432,0.00137,0.0004
95,4.7,1.63183895,1.1469,0.97030048,0,0,0,0.013502,0.015803,22.9403107,22.9403107,0.00054,0.00047,0.00379,0.00347
